,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Completion_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Previous_Reference_Task,Next_Reference_Task
413,participant_31,2,5,26,413,shortcut,L,1567119908610,1567119910244,1567119910244,4034,1434,5468,1634,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
415,participant_31,2,5,27,415,shortcut,F,1567119911710,1567119913711,1567119913711,2033,68,2101,2001,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
417,participant_31,2,5,28,417,shortcut,O,1567119916974,1567119919045,1567119919045,5266,67,5333,2071,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
419,participant_31,2,5,29,419,shortcut,G,1567119921010,1567119923075,1567119923075,3963,1100,5063,2065,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
425,participant_31,2,5,32,425,shortcut,F,1567119933810,1567119935775,1567119935775,4163,1700,5863,1965,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
427,participant_31,2,5,33,427,shortcut,O,1567119937512,1567119939144,1567119939144,1669,70,1739,1632,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
433,participant_31,3,6,0,433,posture,Left_Close_0_On,1567119959245,1567119960422,1567119960422,1209,1157,2366,1177,27,0,False,On,0,Close,Non Dominant,click,word
435,participant_31,3,6,1,435,posture,Left_Close_0_Below,1567119962742,1567119964057,1567119964057,2478,1356,3834,1315,31,0,False,Below,0,Close,Non Dominant,word,click
437,participant_31,3,6,2,437,posture,Left_Close_0_Beside,1567119965445,1567119966523,1567119966523,1110,1224,2334,1078,28,0,False,Beside,0,Close,Non Dominant,click,word
439,participant_31,3,6,3,439,posture,Left_Close_90_On,1567119970212,1567119971325,1567119971325,3578,1186,4764,1113,17,8,False,On,90,Close,Non Dominant,word,word
441,participant_31,3,6,4,441,posture,Left_Close_90_Below,1567119973380,1567119974387,1567119974387,1876,1489,3365,1007,23,6,False,Below,90,Close,Non Dominant,word,click
443,participant_31,3,6,5,443,posture,Left_Close_90_Beside,1567119975910,1567119977859,1567119977859,1983,1152,3135,1949,31,0,False,Beside,90,Close,Non Dominant,click,word
445,participant_31,3,6,6,445,posture,Left_Close_180_On,1567119982344,1567119983656,1567119983656,4645,1258,5903,1312,28,5,False,On,180,Close,Non Dominant,word,click
447,participant_31,3,6,7,447,posture,Left_Close_180_Below,1567119984946,1567119986091,1567119986091,1177,1156,2333,1145,20,6,False,Below,180,Close,Non Dominant,click,click
449,participant_31,3,6,8,449,posture,Left_Close_180_Beside,1567119987276,1567119988393,1567119988393,1146,1154,2300,1117,20,0,False,Beside,180,Close,Non Dominant,click,word
451,participant_31,3,6,9,451,posture,Left_Open_0_On,1567119990277,1567119991223,1567119991223,1676,221,1897,946,29,0,False,On,0,Open,Non Dominant,word,word
455,participant_31,3,6,11,455,posture,Left_Open_0_Beside,1567120000215,1567120001391,1567120001391,1210,1124,2334,1176,23,4,False,Beside,0,Open,Non Dominant,click,word
457,participant_31,3,6,12,457,posture,Left_Open_90_On,1567120004214,1567120005425,1567120005425,2910,1455,4365,1211,18,4,False,On,90,Open,Non Dominant,word,click
459,participant_31,3,6,13,459,posture,Left_Open_90_Below,1567120006914,1567120007791,1567120007791,911,1325,2236,877,21,4,False,Below,90,Open,Non Dominant,click,word
461,participant_31,3,6,14,461,posture,Left_Open_90_Beside,1567120010815,1567120012024,1567120012024,2908,1191,4099,1209,28,0,False,Beside,90,Open,Non Dominant,word,click
465,participant_31,3,6,16,465,posture,Left_Open_180_Below,1567120016812,1567120018825,1567120018825,3145,1124,4269,2013,19,16,False,Below,180,Open,Non Dominant,word,word
469,participant_31,3,6,18,469,posture,Right_Close_0_On,1567120024879,1567120026126,1567120026126,1278,1155,2433,1247,31,0,False,On,0,Close,Dominant,click,click
473,participant_31,3,6,20,473,posture,Right_Close_0_Beside,1567120033349,1567120034393,1567120034393,2977,1352,4329,1044,24,3,False,Beside,0,Close,Dominant,word,click
475,participant_31,3,6,21,475,posture,Right_Close_90_On,1567120035781,1567120036857,1567120036857,1112,1293,2405,1076,22,8,False,On,90,Close,Dominant,click,word
477,participant_31,3,6,22,477,posture,Right_Close_90_Below,1567120039082,1567120040027,1567120040027,1877,1353,3230,945,16,12,False,Below,90,Close,Dominant,word,click
479,participant_31,3,6,23,479,posture,Right_Close_90_Beside,1567120041415,1567120042692,1567120042692,1312,1624,2936,1277,26,4,False,Beside,90,Close,Dominant,click,click
481,participant_31,3,6,24,481,posture,Right_Close_180_On,1567120044349,1567120045627,1567120045627,1311,1488,2799,1278,25,8,False,On,180,Close,Dominant,click,click
483,participant_31,3,6,25,483,posture,Right_Close_180_Below,1567120047147,1567120048296,1567120048296,1181,1450,2631,1149,30,0,False,Below,180,Close,Dominant,click,word
485,participant_31,3,6,26,485,posture,Right_Close_180_Beside,1567120051016,1567120052325,1567120052325,2579,1625,4204,1309,20,11,False,Beside,180,Close,Dominant,word,click
487,participant_31,3,6,27,487,posture,Right_Open_0_On,1567120053980,1567120055196,1567120055196,1246,1120,2366,1216,28,0,False,On,0,Open,Dominant,click,word
489,participant_31,3,6,28,489,posture,Right_Open_0_Below,1567120057514,1567120058757,1567120058757,2441,1124,3565,1243,26,4,False,Below,0,Open,Dominant,word,word
491,participant_31,3,6,29,491,posture,Right_Open_0_Beside,1567120063583,1567120064827,1567120064827,4946,1231,6177,1244,14,12,False,Beside,0,Open,Dominant,word,click
493,participant_31,3,6,30,493,posture,Right_Open_90_On,1567120066094,1567120067137,1567120067137,1079,1186,2265,1043,25,3,False,On,90,Open,Dominant,click,word
495,participant_31,3,6,31,495,posture,Right_Open_90_Below,1567120069259,1567120070335,1567120070335,2012,1391,3403,1076,17,6,False,Below,90,Open,Dominant,word,word
497,participant_31,3,6,32,497,posture,Right_Open_90_Beside,1567120072725,1567120073800,1567120073800,2074,1323,3397,1075,24,4,False,Beside,90,Open,Dominant,word,click
501,participant_31,3,6,34,501,posture,Right_Open_180_Below,1567120078856,1567120080903,1567120080903,2912,1256,4168,2047,26,6,False,Below,180,Open,Dominant,word,click
503,participant_31,3,6,35,503,posture,Right_Open_180_Beside,1567120082193,1567120083641,1567120083641,1482,0,1482,1448,23,8,False,Beside,180,Open,Dominant,click,click
